MP_PT,AU_Substance_SCTID,Int_Substance_SCTID
ferrous sulfate + folic acid,31232011000036100 + 2140011000036102,387402000 + 63718003
vardenafil,32129011000036107,404858007
noradrenaline (norepinephrine),31637011000036100,45555007
ketoconazole,2249011000036105,387216007
vinblastine,2708011000036100,387051009
ascorbic acid + d-alpha-tocopheryl acid succinate + zinc + copper + lutein + zeaxanthin,30781011000036102 + 31076011000036108 + 2718011000036102 + 31033011000036104 + 730581000168103 + 758131000168105,43706004 + 116776001 + 86739005 + 66925006 + 422048002 + 702790002
enalapril,2071011000036102,372658000
phenylephrine,2476011000036101,372771005
safinamide,1246371000168101,718852000
dolasetron,2046011000036108,372488002
remifentanil,31862011000036103,386839004
olive oil + soya oil,31645011000036106 + 31977011000036101,41834005 + 226911007
calcium chloride + glucose,1895011000036106 + 2173011000036106,387377009 + 67079006
alanine + arginine + aspartic acid + glutamic acid + glycine + histidine + isoleucine + leucine + lysine + magnesium chloride + methionine + phenylalanine + potassium chloride + proline + serine + sodium acetate + sodium glycerophosphate + threonine + tryptophan + tyrosine + valine,1758011000036106 + 31303011000036107 + 2294011000036102 + 32104011000036100 + 31930011000036100 + 31572011000036106 + 32112011000036107 + 30679011000036102 + 32053011000036101 + 30763011000036104 + 32125011000036105 + 31429011000036107 + 2500011000036101 + 31475011000036109 + 31345011000036101 + 2177011000036102 + 30782011000036108 + 2299011000036101 + 31824011000036100 + 31295011000036104 + 31749011000036103,58753009 + 52625008 + 44970006 + 85214009 + 15331006 + 60260004 + 14971004 + 83797003 + 75799006 + 45733002 + 70288006 + 63004003 + 8631001 + 52541003 + 14125007 + 108951007 + 415543009 + 52736009 + 54821000 + 27378009 + 72840006
pegfilgrastim,2447011000036102,385544005
erythromycin,2087011000036102,372694001
salicylic acid + cetomacrogol aqueous cream,2574011000036101 + 52996011000036104,
lamivudine,2256011000036104,386897000
teriparatide,32030011000036108,425438001
sucralfate,2602011000036106,387387008
eucalyptus oil + peppermint oil,2775011000036103 + 2822011000036108,12510000 + 52283007
letermovir,1237721000168104,763033005
beclometasone,1835011000036102,116574000
oxybutynin,2430011000036102,372717000
Haemophilus influenzae type b conjugate (PRP-T) + meningococcal C conjugate vaccine,824471000168106 + 827351000168104,641000221105 + 716266006
indapamide,2222011000036102,387419003
fosinopril + hydrochlorothiazide,2149011000036108 + 2194011000036100,372510000 + 387525002
perindopril + indapamide,2459011000036107 + 2222011000036102,
thiamine + riboflavin + nicotinamide + dexpanthenol + pyridoxine + cyanocobalamin,2643011000036109 + 31873011000036103 + 31624011000036109 + 31101011000036102 + 2532011000036107 + 1985011000036102,
bromazepam,1876011000036107,387571009
macrogol-400 + propylene glycol,31507011000036101 + 31830011000036108,713360008 + 13668001
foscarnet,2147011000036101,372902006
bandage tubular finger,48153011000036104,
milk powder lactose modified predigested,48213011000036107,226778000
sitaxentan,31945011000036105,428709002
citrus bioflavonoids extract + copper + ginkgo biloba + magnesium oxide heavy + magnesium sulfate dried + pyridoxine + rutoside,30998011000036100 + 31033011000036104 + 31290011000036108 + 31517011000036103 + 31524011000036101 + 2532011000036107 + 31902011000036106,"72309009,102259006 + 66925006 + 420733007 + 66389008 + 387202002 + 430469009 + 68077006"
adapalene + benzoyl peroxide,30671011000036101 + 30818011000036105,386934008 + 91598004
phenylephrine + paracetamol,2476011000036101 + 2442011000036104,
zinc oxide + castor oil,2719011000036105 + 30922011000036107,
imipramine,2219011000036102,372718005
dressing hydrocolloid superficial wound light exudate,48181011000036105,
doxorubicin hydrochloride (as pegylated liposomal),112481000036105,90875009
triamcinolone + neomycin + gramicidin + nystatin,2685011000036104 + 2389011000036108 + 2181011000036102 + 2404011000036104,
buspirone,1884011000036108,387523009
amphotericin B,1801011000036106,77703004
dressing foam with silicone and silver,106301000036106,"412148004,13652007,767401005"
thalidomide,2641011000036108,78702007
calcipotriol + betamethasone dipropionate,1890011000036102 + 1853011000036104,395766004 + 88736007
fluorescein,31248011000036103,85596006
elotuzumab,915571000168106,715660001
meningococcal C conjugate vaccine,824471000168106,120982004
heparin,857951000168104,372877000
calcium + colecalciferol + magnesium + zinc + copper + manganese,1893011000036105 + 1981011000036104 + 2297011000036108 + 2718011000036102 + 31033011000036104 + 31529011000036100,767178007 + 18414002 + 72717003 + 86739005 + 66925006 + 87869004
heparin + sodium chloride,827351000168104 + 2591011000036106,372877000 + 387390002
sodium chloride + potassium chloride + calcium chloride,2591011000036106 + 2500011000036101 + 1895011000036106,
selexipag,805441000168107,717359004
potassium acetate,31795011000036105,52394008
saquinavir,2577011000036107,372530001
brown snake antivenom,73619011000036104,703204007
tyrosine with carbohydrate,48221011000036104,27378009
hyoscine butylbromide,2208011000036107,395739004
diphtheria + tetanus vaccine,2031011000036104 + 2638011000036103,161000221102 + 551000221106
sodium chloride + potassium chloride + sodium bicarbonate + calcium chloride + magnesium chloride + glucose,2591011000036106 + 2500011000036101 + 2736011000036107 + 1895011000036106 + 2299011000036101 + 2173011000036106,
desonide,31094011000036108,412363005
metaraminol,31568011000036101,372728001
funnel web spider antivenom,73621011000036105,699512007
eculizumab,927558011000036107,427429004
sevelamer,31932011000036101,395871000
amino acid formula with vitamins and minerals without phenylalanine,48204011000036107,52518006
tacrolimus,2612011000036109,386975001
diphenoxylate + atropine sulfate,2029011000036102 + 1825011000036104,15052009 + 74237004
bemotrizinol + octocrylene + diethylamino hydroxybenzoyl hexyl benzoate + titanium dioxide,684061000168107 + 2405011000036100 + 684071000168101 + 2668011000036108,None + 69296007 + None + 62036000
arginine with carbohydrate,30671011000036101 + 30818011000036105,407037005 + 91598004
fidaxomicin,123601000036103,703664004
insulin isophane human + insulin neutral human,2816011000036104 + 2815011000036106,421367005 + 96367001
oxazepam,2425011000036109,387455006
ropivacaine,31884011000036105,386969005
meningococcal B 4 component vaccine,822401000168109,409883005
dipyridamole + aspirin,2034011000036101 + 1817011000036100,387371005 + 387458008
megestrol,2309011000036109,126091007
darunavir + cobicistat + emtricitabine + tenofovir alafenamide,31081011000036106 + 154431000036106 + 2070011000036109 + 768641000168104,423888002 + 710109003 + 404856006 + 715220007
cefalotin,1924011000036106,373485007
sodium chloride + potassium chloride + glucose + citric acid + bicarbonate,2591011000036106 + 2500011000036101 + 2173011000036106 + 1956011000036104 + 2735011000036100,
selenium sulfide,2763011000036106,58292001
castor oil,30922011000036107,34239008
terbutaline,2630011000036100,372745006
glucosamine,31291011000036101,70237008
saxagliptin + metformin,929804011000036103 + 2318011000036103,
calamine,30882011000036105,387082008
glucose + calcium chloride + magnesium chloride,2173011000036106 + 1895011000036106 + 2299011000036101,67079006 + 387377009 + 45733002
sodium chloride + sodium bicarbonate + sodium lactate,2591011000036106 + 2736011000036107 + 2752011000036109,
maraviroc,35847011000036107,429603001
eucalyptus oil,2775011000036103,12510000
ascorbic acid + nicotinamide + pyridoxine + riboflavin + thiamine,30781011000036102 + 31624011000036109 + 2532011000036107 + 31873011000036103 + 2643011000036109,43706004 + 173196005 + 430469009 + 13235001 + 61768002
tocilizumab,82647011000036108,444648007
pyrimethamine + sulfadoxine,2534011000036103 + 31999011000036103,
vericiguat,1588481000168108,1145150000
dexchlorpheniramine,31097011000036102,372663001
nonacog alfa,31634011000036106,425189006
epoprostenol,2081011000036105,372513003
cladribine,1959011000036108,386916009
box jellyfish antivenom,73618011000036107,699514008
cromoglycate,2780011000036101,387221005
boric acid + sodium,30851011000036109 + 2590011000036104,21611007 + 39972003
colistin,814451000168107,387412007
liquid paraffin + lanolin oil,2819011000036108 + 2258011000036100,255667006 + 42416001
ceftazidime,30934011000036101,387200005
alanine + arginine + glycine + histidine + isoleucine + leucine + lysine + magnesium chloride + methionine + phenylalanine + phosphorus + proline + serine + sodium acetate trihydrate + sodium chloride + threonine + tryptophan + tyrosine + valine,30781011000036102 + 1981011000036104 + 31101011000036102 + 31624011000036109 + 2532011000036107 + 31868011000036100 + 31873011000036103 + 2643011000036109,58753009 + 52625008 + 15331006 + 60260004 + 14971004 + 83797003 + 75799006 + 45733002 + 70288006 + 63004003 + 30820000 + 52541003 + 14125007 + 726006002 + 387390002 + 52736009 + 54821000 + 27378009 + 72840006
ferrous sulfate + ascorbic acid,31232011000036100 + 30781011000036102,387402000 + 43706004
nicorandil,2392011000036102,395809002
"protein formula with vitamins and minerals, and low in potassium, phosphorus, calcium, chloride and vitamin A",1509551000168108,88878007
dorzolamide,2052011000036106,373447009
hydrocortisone + clioquinol,2195011000036101 + 31002011000036101,396458002 + 387291001
phenol,2470011000036104,116613007
camphor + menthol + cajuput oil + mint oil dementholised + clove bud oil,30895011000036103 + 2313011000036108 + 30881011000036104 + 31592011000036101 + 31010011000036102,111136003 + 387414008 + 73553009 + 230037009 + 256018002
interferon gamma-1b,2805011000036109,386901006
prednisolone,2506011000036103,116601002
"amino acid formula with vitamins and minerals without valine, leucine and isoleucine",48200011000036102,52518006
thiamine + riboflavin + nicotinamide + calcium pantothenate + pyridoxine + cyanocobalamin + ascorbic acid + biotin + folic acid + calcium + magnesium + zinc,2643011000036109 + 31873011000036103 + 31624011000036109 + 31695011000036101 + 2532011000036107 + 1985011000036102 + 30781011000036102 + 30839011000036109 + 2140011000036102 + 1893011000036105 + 2297011000036108 + 2718011000036102,
insulin isophane human,2816011000036104,421367005
calcium carbonate + magnesium hydroxide,1894011000036107 + 2300011000036103,387307005 + 387337001
blinatumomab,764871000168102,716122004
purified talc,2824011000036104,1557002
linezolid,31481011000036104,387056004
dicloxacillin,2018011000036104,372873001
calamine + zinc oxide,30882011000036105 + 2719011000036105,387082008 + 42841002
amino acid formula with vitamins and minerals without phenylalanine and tyrosine,48199011000036108,52518006
glibenclamide,2169011000036101,384978002
milk powder lactose intolerance formula,764761000168104,70813002
paracetamol + codeine + pseudoephedrine,2442011000036104 + 1978011000036103 + 2525011000036101,
monkeypox live replication deficient vaccine,,
vigabatrin,2707011000036101,310283001
iron polymaltose,2240011000036104,708805001
salicylic acid + menthol + cetalkonium chloride,2574011000036101 + 2313011000036108 + 30945011000036101,
phenelzine,2464011000036103,387528000
Q fever vaccine,821471000168109,372490001
salicylic acid + aqueous cream,2574011000036101 + 52990011000036102,
alectinib,932751000168105,716039000
cisplatin,1951011000036109,387318005
alanine + arginine + glycine + histidine + isoleucine + leucine + lysine + methionine + phenylalanine + proline + serine + threonine + tryptophan + tyrosine + valine + sodium acetate + potassium chloride + calcium chloride + magnesium sulfate + sodium glycerophosphate + zinc,2819011000036108 + 2175011000036107 + 1559581000168107 + 1559571000168109 + 1559591000168105 + 32101011000036103 + 30945011000036101,58753009 + 52625008 + 15331006 + 60260004 + 14971004 + 83797003 + 75799006 + 70288006 + 63004003 + 52541003 + 14125007 + 52736009 + 54821000 + 27378009 + 72840006 + 108951007 + 8631001 + 387377009 + 387202002 + 415543009 + 86739005
silver nitrate,31942011000036102,373483000
umeclidinium + vilanterol,673271000168100 + 677431000168105,
bedaquiline,1174791000168106,714086004
caffeine,30880011000036106,255641001
ulipristal,837991000168108,703249005
eucalyptus radiata + melaleuca oil,143141000036106 + 31547011000036109,259119007 + 412518008
thiamine,2643011000036109,61768002
phenazone + benzocaine,31742011000036108 + 30815011000036104,
thiotepa,2648011000036104,387508004
gestrinone,2167011000036108,387589005
indacaterol,927561011000036105,702801003
gadofosveset,31267011000036106,420466007
moxifloxacin,2364011000036109,412439003
lincomycin,2280011000036106,372677003
lifitegrast,1430911000168109,720489009
ethosuximide,2097011000036101,387244008
essential amino acids formula with minerals and vitamin C,48210011000036104,112000000
larotrectinib,1506291000168107,782977003
pegvaliase,1596271000168109,770965008
thiopental,32051011000036102,412605006
latanoprost,2262011000036108,386926002
canakinumab,927553011000036102,698091001
acamprosate,1753011000036101,391698009
pawpaw,78581011000036108,735212003
acetic acid + isopropyl alcohol,1760011000036102 + 31432011000036104,2869004 + 259268001
ivermectin,2248011000036102,387559003
lipase + amylase + protease,2284011000036101 + 846131000168107 + 2524011000036100,72993008 + 387031005 + 130202003
aluminium acetate solution,51918011000036100,22976006
diphtheria + tetanus + pertussis + hepatitis B + polio trivalent vaccine,2638011000036103 + 836531000168100 + 2031011000036104 + 836541000168109 + 824451000168102 + 836241000168107 + 836521000168103 + 836251000168109 + 836221000168101,161000221102 + 551000221106 + 121074009 + 303233001 + 713616004
atovaquone,1823011000036100,386899002
alanine + arginine + glucose + glycine + histidine + isoleucine + leucine + lysine + magnesium chloride + methionine + phenylalanine + phosphorus + proline + serine + sodium acetate trihydrate + sodium chloride + threonine + tryptophan + tyrosine + valine,2031011000036104 + 836241000168107 + 836521000168103 + 836221000168101 + 836531000168100 + 836541000168109 + 2638011000036103 + 836251000168109,58753009 + 52625008 + 67079006 + 15331006 + 60260004 + 14971004 + 83797003 + 75799006 + 45733002 + 70288006 + 63004003 + 30820000 + 52541003 + 14125007 + 726006002 + 387390002 + 52736009 + 54821000 + 27378009 + 72840006
paracetamol + codeine + promethazine,30671011000036101 + 30818011000036105,
vecuronium,32134011000036108,372883002
benralizumab,1231121000168105,763651005
trientine,1530441000168106,373456001
bimatoprost,1862011000036101,129492005
lesinurad,884451000168109,715259003
hydroxycarbamide (hydroxyurea),2206011000036108,387314007
eprosartan,2083011000036106,396044005
golimumab,83534011000036104,442435002
pristinamycin,1171861000168105,1199411000168103
losartan,31500011000036102,373567002
hydroxyethyl starch 130/0.4 + sodium chloride,1013361000168101 + 2591011000036106,713371009 + 387390002
dipyridamole,2034011000036101,387371005
hydrocortisone acetate,2196011000036108,79380007
nitric oxide,75909011000036109,6710000
cariprazine,1514221000168104,715295006
fludarabine,31239011000036105,386907005
ixazomib,900171000168107,715256005
varenicline,32131011000036105,421772003
methyl salicylate + eucalyptus oil + menthol,2792011000036101 + 2775011000036103 + 2313011000036108,386988003 + 12510000 + 387414008
flumazenil,31242011000036101,387575000
ascorbic acid + biotin + calcium + choline bitartrate + cyanocobalamin + d-alpha-tocopherol + folic acid + inositol + lecithin + magnesium + nicotinamide + oat extract + pantothenic acid + passiflora incarnata extract + potassium + pyridoxine + riboflavin + thiamine,30781011000036102 + 30839011000036109 + 1893011000036105 + 30974011000036104 + 1985011000036102 + 31074011000036100 + 2140011000036102 + 31405011000036101 + 1184071000168102 + 2297011000036108 + 31624011000036109 + 1180471000168100 + 31697011000036106 + 1180481000168102 + 2497011000036107 + 2532011000036107 + 31873011000036103 + 2643011000036109,43706004 + 8919000 + 767178007 + 387030006 + 419382002 + 116776001 + 63718003 + 72164009 + 26312007 + 72717003 + 173196005 + 412452008 + 86431009 + 412265001 + 88480006 + 430469009 + 13235001 + 61768002 
ioversol,31422011000036102,395759000
ertugliflozin + sitagliptin,1228601000168104 + 35844011000036101,764274008 + 423307000
American house dust mite extract,83056011000036106,711092006
dapagliflozin + metformin,87461000036107 + 2318011000036103,703674001 + 372567009
glucose + sodium chloride,2173011000036106 + 2591011000036106,67079006 + 387390002
calamine + almond oil + salicylic acid + zinc oxide,30882011000036105 + 30699011000036107 + 2574011000036101 + 2719011000036105,387082008 + 391737006 + 387253001 + 42841002
Plantago lanceolata pollen extract,1131161000168103,387584000
salicylic acid + menthol + coal tar,2574011000036101 + 2313011000036108 + 1977011000036104,
epoetin beta,2080011000036103,396043004
abacavir + lamivudine,1750011000036109 + 2256011000036104,387005008 + 386897000
"amino acid formula with fat, carbohydrate, vitamins, minerals, trace elements and medium chain triglycerides",724771000168102,"52518006,2331003"
cisatracurium,30995011000036106,372495006
digoxin,2021011000036101,387461009
piperacillin + tazobactam,31770011000036108 + 32022011000036109,
ramucirumab,731781000168100,704259004
calcium carbonate + magnesium carbonate,1894011000036107 + 867241000168101,387307005 + 387401007
palonosetron,31687011000036105,404852008
senna leaf powder + fig + date,31926011000036100 + 81957011000036107 + 81958011000036108,
iodixanol,31412011000036107,395750001
rifampicin,2559011000036103,387159009
polyvinyl alcohol,2496011000036109,83619009
ascorbic acid + citrus bioflavonoids extract + cupric sulfate pentahydrate + glucosamine + manganese amino acid chelate + zinc oxide,30781011000036102 + 30998011000036100 + 31054011000036103 + 31291011000036101 + 31530011000036109 + 2719011000036105,"43706004 + 72309009,102259006 + 725791000 + 70237008 + 87869004,52518006 + 42841002"
iotroxic acid,75888011000036107,782382002
primidone,2510011000036103,387256009
influenza quadrivalent vaccine 2016,702441000168103,260210008
merbromin,31565011000036107,19126005
olive oil + soya oil + alanine + arginine + aspartic acid + glutamic acid + glycine + histidine + isoleucine + leucine + lysine + methionine + phenylalanine + proline + serine + threonine + tryptophan + tyrosine + valine + sodium acetate + glycerophosphoric acid + potassium chloride + magnesium chloride + calcium chloride + glucose,31645011000036106 + 31977011000036101 + 30679011000036102 + 30763011000036104 + 30782011000036108 + 31295011000036104 + 2177011000036102 + 31345011000036101 + 31429011000036107 + 31475011000036109 + 2294011000036102 + 31572011000036106 + 31749011000036103 + 31824011000036100 + 31930011000036100 + 32053011000036101 + 32104011000036100 + 32112011000036107 + 32125011000036105 + 1758011000036106 + 31304011000036109 + 2500011000036101 + 2299011000036101 + 1895011000036106 + 2173011000036106,41834005 + 226911007 + 58753009 + 52625008 + 44970006 + 85214009 + 15331006 + 60260004 + 14971004 + 83797003 + 75799006 + 70288006 + 63004003 + 52541003 + 14125007 + 52736009 + 54821000 + 27378009 + 72840006 + 108951007 + 86447006 + 8631001 + 45733002 + 387377009 + 67079006
bovine plasma proteins hydrolysate,60091000036106,
iomeprol,31416011000036106,395753004
tetryzoline,32039011000036102,372673004
procarbazine,31818011000036101,387474003
betacarotene + ascorbic acid + d-alpha-tocopherol + mixed (low-alpha type) tocopherols concentrate + retinol acetate + thiamine + riboflavin + nicotinamide + pantothenic acid + pyridoxine + cyanocobalamin + folic acid + biotin + colecalciferol + phytomenadione + boron + calcium + chromium + copper + magnesium + manganese + molybdenum + selenium + zinc + citrus bioflavonoids extract + choline bitartrate + inositol,30824011000036106 + 30781011000036102 + 31074011000036100 + 1402731000168107 + 31867011000036101 + 2643011000036109 + 31873011000036103 + 31624011000036109 + 31697011000036106 + 2532011000036107 + 1985011000036102 + 2140011000036102 + 30839011000036109 + 1981011000036104 + 31759011000036100 + 932931000168102 + 1893011000036105 + 30978011000036106 + 31033011000036104 + 2297011000036108 + 31529011000036100 + 31598011000036103 + 2762011000036104 + 2718011000036102 + 30998011000036100 + 30974011000036104 + 31405011000036101,"103068006 + 43706004 + 116776001 + 37237003 + 421621000 + 61768002 + 13235001 + 173196005 + 86431009 + 430469009 + 419382002 + 63718003 + 8919000 + 18414002 + 66656000 + 70597009 + 767178007 + 111070004 + 66925006 + 72717003 + 87869004 + 71128006 + 22038003 + 86739005 + 72309009,102259006 + 387030006 + 72164009"
lutropin alfa,31503011000036105,415248001
olsalazine,2416011000036105,386890003
calcipotriol,1890011000036102,395766004
sertindole,927565011000036107,418732002
sodium lactate + sodium chloride + potassium chloride,2752011000036109 + 2591011000036106 + 2500011000036101,
chlorpromazine,1938011000036101,387258005
aqueous cream,52990011000036102,111089004
Bifidobacterium bifidum + Bifidobacterium lactis + Lactobacillus acidophilus + Lactobacillus paracasei,1340721000168105 + 1181231000168107 + 31460011000036109 + 1340731000168108,703929005 + None + 16744007 + 710318008
"high fat formula with vitamins, minerals and trace elements and low in protein and carbohydrate",78583011000036109,
sacubitril + valsartan,805841000168105 + 32126011000036103,
oxprenolol,2427011000036104,387583006
Cynodon dactylon pollen extract,1134751000168104,260089005
melphalan,2312011000036101,387297002
besifloxacin,875991000168104,442870007
testosterone propionate + testosterone phenylpropionate + testosterone isocaproate + testosterone decanoate,2636011000036102 + 2635011000036109 + 2634011000036105 + 2633011000036108,
sodium lactate + sodium chloride + potassium chloride + calcium chloride,2752011000036109 + 2591011000036106 + 2500011000036101 + 1895011000036106,
cabotegravir,1539171000168104,1145127006
rilpivirine,351000036107,703123005
eltrombopag,933218781000036106,432005001
venetoclax,1197261000168107,720491001
nomegestrol + estradiol,112491000036107 + 2409011000036103,699947006 + 126172005
naloxegol,912491000168103,719411008
d-alpha-tocopherol,31074011000036100,116776001
pilocarpine,2481011000036103,372895002
bicarbonate,2735011000036100,68615006
azacitidine,84747011000036107,412328000
picosulfate + magnesium carbonate + citric acid,64913011000036102 + 867241000168101 + 1956011000036104,
peginterferon alfa-2a,2448011000036101,421559001
"amino acid formula with carbohydrate, vitamins, minerals and trace elements without phenylalanine",757991000168106,"52518006,2331003"
"amino acid formula with fat, carbohydrate, vitamins, minerals and trace elements, without phenylalanine and tyrosine",842151000168102,"52518006,2331003"
dexamfetamine,2011011000036108,409880008
capsaicin,30902011000036100,95995002
trastuzumab,2683011000036100,116080004
carbetocin,30908011000036102,425003007
chlorphenamine + pholcodine + pseudoephedrine,30971011000036102 + 2480011000036105 + 2525011000036101,372914003 + 396486005 + 372900003
aspirin + dihydrocodeine,1817011000036100 + 31123011000036108,387458008 + 387322000
imiglucerase,31383011000036106,386968002
ketoprofen,2250011000036102,386832008
empagliflozin,682171000168108,703894008
albumin human,64916011000036108,789261007
dolutegravir,167461000036103,713464000
cocaine,52963011000036108,387085005
mupirocin,2367011000036103,387397004
thymol + benzoic acid + bicarbonate,32058011000036106 + 30816011000036106 + 2735011000036100,
calcium gluconate monohydrate,64898011000036102,725657007
carbomer-980,35410011000036107,395853007
inclisiran,1572721000168106,"39492511000001108
"
bemotrizinol + butyl methoxydibenzoylmethane + octocrylene + octyl methoxycinnamate + diethylamino hydroxybenzoyl hexyl benzoate + titanium dioxide,684061000168107 + 1887011000036102 + 2405011000036100 + 2408011000036106 + 684071000168101 + 2668011000036108,None + 256171000 + 69296007 + 256173002 + None + 62036000
alirocumab,883041000168100,715186005
certolizumab pegol,87273011000036103,430306004
tropisetron,2692011000036108,395917006
benzyl alcohol + cetylpyridinium,1847011000036106 + 30954011000036102,55902002 + 387043006
interferon beta-1b,2804011000036105,386903009
butyl methoxydibenzoylmethane + 4-methylbenzylidene camphor + octyl methoxycinnamate + titanium,1749011000036101 + 2408011000036106 + 2667011000036107 + 1887011000036102,256171000 + 256180000 + 256173002 + 1166006
methyl salicylate + camphor + menthol + eucalyptus oil,2792011000036101 + 30895011000036103 + 2313011000036108 + 2775011000036103,386988003 + 111136003 + 387414008 + 12510000
finerenone,1588691000168109,1163346008
pad wound debridement,1055571000168109,
icatibant,927559011000036104,703834005
teicoplanin,32027011000036106,387529008
insulin lispro,2785011000036105,412210000
moclobemide,2354011000036101,395800003
citric acid + bicarbonate + carbonate,1956011000036104 + 2735011000036100 + 2787011000036100,75399008 + 68615006 + 259094000
mercaptopurine,2314011000036105,386835005
carmustine,1908011000036107,387281007
methoxyflurane,31575011000036103,11136004
oxybuprocaine,31675011000036107,52140009
pentosan polysulfate sodium,31730011000036105,109117004
insulin degludec + insulin aspart,1168621000168103 + 2783011000036109,710281005 + 325072002
dressing hydrophobic,1055261000168100,
white soft paraffin,31704011000036108,419633007
sesame oil,75891011000036104,89707004
alanine + arginine + aspartic acid + glutamic acid + glycine + histidine + isoleucine + leucine + lysine + methionine + phenylalanine + proline + serine + threonine + tryptophan + tyrosine + valine + calcium chloride + glycerophosphoric acid + magnesium sulfate + potassium chloride + sodium acetate,1981011000036104 + 2643011000036109 + 31873011000036103 + 31624011000036109 + 2532011000036107 + 1985011000036102 + 1340161000168104 + 30781011000036102 + 1893011000036105 + 30824011000036106 + 31074011000036100 + 30973011000036101 + 30839011000036109,58753009 + 52625008 + 44970006 + 85214009 + 15331006 + 60260004 + 14971004 + 83797003 + 75799006 + 70288006 + 63004003 + 52541003 + 14125007 + 52736009 + 54821000 + 27378009 + 72840006 + 387377009 + 86447006 + 387202002 + 8631001 + 108951007
"protein formula with arginine, vitamin C, E and zinc",732871000168102,88878007
"amino acid formula with vitamins, minerals, fibre and docosahexaenoic acid without valine, leucine and isoleucine",702871000168107,52518006
fremanezumab,1405671000168105,781125008
tofacitinib,718531000168105,704313003
isoflurane,31428011000036104,387368002
pholcodine + phenylephrine,2480011000036105 + 2476011000036101,
urea (13C),32120011000036101,395918001
chlorphenamine + paracetamol,30971011000036102 + 2442011000036104,372914003 + 384977007
lidocaine (lignocaine) + prilocaine,2277011000036104 + 31811011000036105,387480006 + 387107003
polio trivalent inactivated vaccine,836521000168103,881000221103
amino acid synthetic formula supplemented with long chain polyunsaturated fatty acids,48206011000036104,52518006
menthol + camphor,2313011000036108 + 30895011000036103,387414008 + 111136003
death adder antivenom,73620011000036103,699513002
edetic acid + ascorbic acid,31170011000036104 + 30781011000036102,372628006 + 43706004
sodium chloride + sodium acetate + potassium chloride + magnesium chloride,2591011000036106 + 1758011000036106 + 2500011000036101 + 2299011000036101,
minocycline,2347011000036105,372653009
gadoteridol,31272011000036102,420600009
infliximab,2227011000036100,386891004
secukinumab,707161000168109,708822004
benzocaine + cetylpyridinium + dextromethorphan + menthol,30815011000036104 + 30954011000036102 + 31105011000036100 + 2313011000036108,387357002 + 387043006 + 387114001 + 387414008
dressing hydrofibre alternate to alginates,48183011000036106,
nebivolol,83221011000036109,395808005
esmolol,31194011000036101,372847006
saxagliptin,929804011000036103,443087004
tafamidis,1491571000168105,703348000
propylthiouracil,2523011000036102,387203007
doravirine + lamivudine + tenofovir disoproxil,1269061000168107 + 2256011000036104 + 847021000168106,781493004 + 386897000 + 421203005
theophylline,2642011000036102,372810006
lorazepam,31499011000036101,387106007
protein hydrolysate formula with medium chain triglycerides,48216011000036101,88878007
anakinra,1805011000036108,385549000
dronedarone,48051000036107,443195003
potassium chloride + glucose,2500011000036101 + 2173011000036106,
cytarabine,1993011000036104,387511003
lidocaine (lignocaine) + chlorhexidine,2277011000036104 + 1933011000036106,387480006 + 373568007
betamethasone dipropionate,1853011000036104,88736007
nitisinone,933193061000036105,385996000
zuclopenthixol acetate,32176011000036102,395931006
latanoprost + timolol,2262011000036108 + 2661011000036104,386926002 + 372880004
azatadine,30794011000036100,372662006
albendazole,1770011000036106,387558006
compound benzoin tincture + menthol,51919011000036108 + 2313011000036108,387484002 + 387414008
glycine,2177011000036102,15331006
Lolium perenne pollen extract,768811000168102,386849001
bone cement,1184981000168100,6043006
gentamicin + bone cement,2165011000036103 + 1184981000168100,387321007 + 6043006
orlistat,2423011000036108,387007000
busulfan,1886011000036100,387138002
isoleucine with carbohydrate,48211011000036106,"14971004,2331003"
benzoin Sumatra + camphor + storax prepared + wool fat + zinc oxide,30817011000036109 + 30895011000036103 + 31989011000036102 + 32154011000036107 + 2719011000036105,387484002 + 111136003 + 256191007 + 35605007 + 42841002
influenza quadrivalent vaccine 2020,1453481000168102,260210008
vortioxetine,712631000168107,708717008
thiamine + riboflavin + nicotinamide + pantothenic acid + pyridoxine + biotin + cyanocobalamin + choline + folic acid + inositol + ascorbic acid + d-alpha-tocopherol + magnesium + zinc + potassium,2643011000036109 + 31873011000036103 + 31624011000036109 + 31697011000036106 + 2532011000036107 + 30839011000036109 + 1985011000036102 + 30973011000036101 + 2140011000036102 + 31405011000036101 + 30781011000036102 + 31074011000036100 + 2297011000036108 + 2718011000036102 + 2497011000036107,
arginine hydrochloride,30764011000036102,63676001
eprosartan + hydrochlorothiazide,2083011000036106 + 2194011000036100,396044005 + 387525002
tar + trolamine lauril sulfate,2617011000036106 + 2851011000036101,
aluminium chlorohydrate + dimeticone-350,2798011000036103 + 30712011000036105,409115009 + 395942002
sodium chloride + potassium chloride + glucose + citric acid,2591011000036106 + 2500011000036101 + 2173011000036106 + 1956011000036104,
aprotinin,30759011000036106,386961008
aztreonam,30801011000036103,387386004
factor VIII + von Willebrand factor,31219011000036103 + 64915011000036101,278910002 + 18288009
Mycobacterium bovis BCG Connaught strain,2840011000036106,409159000
peramivir,1290071000168107,716121006
bupivacaine + adrenaline (epinephrine),30869011000036103 + 1767011000036101,387150008 + 387362001
hydralazine,2192011000036109,387125005
adapalene,30671011000036101,386934008
tretinoin,32084011000036105,387305002
